Numero,Efekti
20,"Haavoittuneet parantuvat täysin luonnottomasti. Tietyn standardiyksilön suuntaan (esim. Empty Child)."
21,"Menetetyt muistot parveilevat jokaisen aseen kalahduksen ympärillä, huutaen ja kiskoen uusia mukaansa."
22,"Tuhannet linnut hakeutuvat tänne. Ne tietävät asioita."
23,"Minuus on harhaa. Kollektiivi on todellinen (esim. siirtäen alueella toimivia osaksi pesuemieltä)."
24,"Sinä olet sukusi. Sukusi puhuu sinussa. Yhtä aikaa ja sinun sijastasi (esim. jannu alkaa höpöttää omiaan moniäänisenä jukeboksina)."
25,"Kaikki murtuu ja sortuu ympäriltä. Vain kolmen ringin sisällä on turvassa (esim. maanjäristyksiä rullailee lokaalisti ympärillä)."
26,"Jokainen liike on ponnistelua, raastavaa ponnistelua (esim. syöden kestopisteitä rasittaessa itseään)."
27,"Kukin vuorollaan, siispä samoja toimia ei voi tehdä yhtä aikaa (esim. pakottaen vaihtelevaan koreografisointiin)."
28,"Joka ei elämän arvoa näe, maksakoot teoistaan omallaan (esim. ottamalla itse lämää lyödessään)."
29,"Verta veren jumalille, kalloja kallovaltaistuimelle! Omia jos ei vihollisten! (esim. aiheuttamalla berserkkiraivoa sinne tänne)"
30,"Ruokaa, Ranac! Jumalten ruokaa! (esim. ihmislihan himoa väestössä)"
31,"Vaasan veri ei vapise! Eteenpäin, missä tahansa tilassa! (esim. vailla murhetta moraalin murtumisesta luiden jo niin tehtyä)"
32,"Suonissa laulava veri tahtoo ulos. Pian, vuolaasti ja joka puolelta (esim. vuotamalla ulos korvista ja silmistä)."
33,"Taivas itkee mustia kyyneleitä (esim. visvaa tai likaista tahnaa joka pilaa maan ja kasvit)."
34,"Läpäisemättömät, kipinöivät savupilvet ympäröivät maan (esim. hankaloittamaan näkemistä ja tehden vauriota hengitettäessä)."
35,"Muutoksen herra vahtii liikkeitänne silmä kovana. Seinillä on korvat. Kirjaimellisesti (esim. silmiä nousee pinnoista)."
36,"Punaiset lehdet putoavat kaiken peittävistä köynnöksistä (esim. kasveja puskee joka paikasta tukehduttamaan kaupunkia)."
37,"Vastaa, kun kysytään, tai murrut (esim. voit pakottaa jonkun vastaamaan tai kärsimään)."
38,"Revetköön maa ja paukkukoot taivas, kun ukkonen kumartaa hallitsijalleen (esim. ohjattua salamointia)."
39,"Meri maan yllä, missä kalat ja muut kulkevat kuin vetten alla (esim. ilmassa uivia kaloja, yllätyshai kadulla)."
40,"Aikanaan sinäkin olet vain matoja ja tomua luidesi välissä. Se aika on tänään (esim. liha muuttuu hajottajiksi)."
41,"Kirottu olkoot jokainen askel, jolla verta vuodatat niin, että se tuntuu vielä myöhempinäkin aikoina (esim. alue muuttuu pysyvästi ongelmalliseksi)."
42,"Jäätykööt veri jokaiselta, joka hetkenkään epäröi niin, ettei heitä enää tarvitse katsella kun oikeat urhot mittelevät (esim. pelkoheittoja)."
43,"Juoskoot koirat! Tämä oli mies, ennen kuin hänestä tuli kuningas! (esim. synkän majesteetin aura)"
44,"Juhlikoot korpit, sillä muuta ei nälkäänsä pian löydäkään kuin raatoja (esim. pilaa ruokaa ja tappaa satoa)."
45,"Tulkoot sinun valtakuntasi, tapahtukoot sinun tahtosi, niin maan päällä kuin taivaissa (esim. tuo hurskaat lähemmäs jumalaansa, pappisbonaria)."
46,"Herätkööt Musta vuohi ja sen tuhat lasta, herätkööt vanha valta uudelleen! (esim. hirviöitä varjoissa, muinaisten voimia käyttöön)"
47,"Ilma rätisee, karva nousee. Jokainen tuntee jännityksen esitaistelijoiden välillä (esim. valitsee pari erikoistapausta tekemään jotain)."
48,"Veri kiehuu, viha kasvaa, kuolo nousee, sota kutsuu! (esim. antaa toismaailman virrata lävitseen kuin Gloranthan sankarin)"
49,"Neljä tietä, yksi totuus. Kulkija varokoot omia neuvojaan (esim. totuudeksi muuttuvia profetioita)."
50,"Hiomaton timantti (esim. jonkun sisään muodostuu luolan suu uuteen seikkailuun)."
